cohort,cohort_years,dod_occ_code_level,dod_occ_code,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
0,16,A,000,A,00,312300,262900,155000,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,,,,,,
0,16,A,000,N,11,1088,671.5,400,20130,24050,25610,27270,33950,36290,36580,46210,47560,1,1,1,1,1,1,,,,,,
0,16,A,000,N,21,4997,3611,2219,36790,49120,56620,53390,69690,81010,71520,93120,109000,1,1,1,1,1,1,,,,,,
0,16,A,000,N,22,1492,1892,1420,30880,44380,54120,42390,62100,74440,58190,83140,97510,1,1,1,1,1,1,,,,,,
0,16,A,000,N,23,20720,14710,7554,22370,28590,33760,31250,40760,48430,43170,57060,68970,1,1,1,1,1,1,,,,,,
0,16,A,000,N,31-33,29810,24150,14370,24810,31770,36550,34710,44460,51090,48470,61660,71760,1,1,1,1,1,1,,,,,,
0,16,A,000,N,42,14070,11090,6682,24600,31320,36030,34320,43450,50180,47230,59640,69870,1,1,1,1,1,1,,,,,,
0,16,A,000,N,44-45,30310,19200,9455,17780,21370,24680,23950,30280,36160,33790,43190,52200,1,1,1,1,1,1,,,,,,
0,16,A,000,N,48-49,19350,13370,7554,23400,29850,33170,33980,43150,47620,48710,60450,65640,1,1,1,1,1,1,,,,,,
0,16,A,000,N,51,8326,7261,4279,28690,36700,44170,42130,52420,62480,64390,76450,86610,1,1,1,1,1,1,,,,,,
0,16,A,000,N,52,5384,5317,3376,22620,30490,36990,31790,42350,51190,43500,57510,72790,1,1,1,1,1,1,,,,,,
0,16,A,000,N,53,4525,3226,1779,21420,26780,30810,30520,38310,43480,42530,52310,60800,1,1,1,1,1,1,,,,,,
0,16,A,000,N,54,35540,27370,13630,41670,47960,50810,62330,70610,74990,88280,100400,108000,1,1,1,1,1,1,,,,,,
0,16,A,000,N,55,2916,2615,1816,24020,32330,38250,36440,47610,56520,56190,69730,82250,1,1,1,1,1,1,,,,,,
0,16,A,000,N,56,41020,23430,11100,20480,24350,26180,29350,36560,40410,43640,55480,62470,1,1,1,1,1,1,,,,,,
0,16,A,000,N,61,8812,9761,6842,26420,30490,34830,41650,45700,49560,57340,62320,66060,1,1,1,1,1,1,,,,,,
0,16,A,000,N,62,14820,16600,11430,21010,26090,31210,29630,37310,45820,42350,53670,65000,1,1,1,1,1,1,,,,,,
0,16,A,000,N,71,2955,2418,1245,18200,22450,24740,24440,32560,38200,33990,46700,57140,1,1,1,1,1,1,,,,,,
0,16,A,000,N,72,10520,7222,3816,16350,18080,19960,21130,24660,27700,29440,36050,41940,1,1,1,1,1,1,,,,,,
0,16,A,000,N,81,7501,5521,2865,22120,26560,29730,32460,39360,43680,46110,54270,60720,1,1,1,1,1,1,,,,,,
0,16,A,000,N,92,19830,21910,14340,26860,35540,39790,34780,45530,52820,43310,59900,72290,1,1,1,1,1,1,,,,,,
0,16,A,000,N,99,28220,41530,28800,33980,43210,48320,43820,55410,63580,57840,73150,84270,1,1,1,1,1,1,,,,,,
0,16,2,10X,A,00,87590,73730,43830,21720,29320,35020,31390,42570,50430,44950,60190,71850,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,11,410,290,160,19370,24430,24730,26280,33520,37030,35100,45350,49020,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,21,1899,1453,931,36570,48650,56660,53360,68880,80580,70080,91960,109200,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,22,524,688,506,29600,44520,55920,41460,63090,78340,57620,84790,98610,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,23,8533,6235,3221,21820,27960,33290,30050,40070,47780,41070,55730,67780,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,31-33,9931,8020,4852,23540,30440,35200,32450,41910,49000,44150,57080,68690,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,42,4133,3353,2095,22990,30070,34970,31370,41860,47840,42820,56240,65770,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,44-45,10040,6395,3098,17740,21230,25510,23740,30270,37340,33210,43060,52740,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,48-49,4736,3652,2201,21390,27650,32320,30100,39780,45510,41950,54860,62150,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,51,1586,1506,980,24920,32680,40120,34950,44190,56260,48090,61820,78270,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,52,1345,1451,930,22800,31470,38380,31870,43260,52340,42930,59110,75920,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,53,1349,946,545,20490,25240,29710,27720,36720,43370,38350,50820,58780,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,54,6505,5664,3078,36450,42780,47480,56180,62470,68310,85970,93640,98760,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,55,735,678,464,22120,31360,35380,31640,43810,51250,43930,64010,78340,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,56,13140,7581,3583,19920,24030,26270,28140,35590,40240,40610,53360,61510,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,61,2495,2726,1864,27570,33150,36930,44130,49060,52310,59200,65990,69540,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,62,2638,3119,2218,19310,25490,30080,26430,35320,43790,35460,48380,61940,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,71,1018,872,440,17810,22030,24830,23780,31730,37380,32060,45810,59800,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,72,3448,2386,1285,16050,17820,20310,20630,24340,27650,27840,35270,41690,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,81,2078,1536,834,20890,25430,28720,29990,37560,42700,42710,50990,57670,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,92,6726,7895,5174,26950,36530,41220,34670,46840,55090,43240,61690,74860,1,1,1,1,1,1,,,,,,
0,16,2,10X,N,99,4323,7313,5343,32440,41860,47260,41710,52830,60900,55070,68710,80480,1,1,1,1,1,1,,,,,,
0,16,2,11X,A,00,19340,16700,9918,25860,34210,39810,40560,51690,58970,64080,76150,84800,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,11,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
0,16,2,11X,N,21,234,206,118,41490,50670,58330,58380,71940,89930,77900,97790,118900,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,22,94,120,80,36880,49920,61670,50930,72500,79710,65350,93340,105000,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,23,1308,883,476,23880,29690,36320,33880,42890,50930,47880,58860,73150,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,31-33,1915,1741,1009,27480,35580,41220,39610,50380,56730,58140,70250,80200,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,42,887,755,491,28310,35800,41390,40410,49490,56020,59660,72940,77350,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,44-45,1499,1011,511,17270,21950,25870,23300,30260,37410,33150,42660,56490,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,48-49,697,532,318,22670,27110,29680,34370,39960,48840,53770,62030,65670,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,51,2036,1582,910,34090,44560,54560,52570,63590,73410,73510,87600,95380,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,52,290,340,218,21900,30220,35780,30850,41710,50890,44410,59510,73810,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,53,224,190,85,22330,25210,32720,30450,36860,44300,44350,52800,69050,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,54,3863,3055,1539,46690,53870,58120,66870,76540,83000,93080,105100,115100,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,55,236,207,153,27400,37070,47600,42570,56160,63120,77030,75690,83730,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,56,2268,1353,663,20790,25320,28580,29870,38530,43810,47450,58540,64580,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,61,426,489,357,27280,28760,33660,41750,42680,47920,61040,56660,61700,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,62,473,645,541,20320,25270,32040,29160,36050,46990,39280,54210,66180,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,71,138,111,57,18280,25230,27830,26160,36390,36240,35650,52930,46790,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,72,518,387,234,15920,18030,20710,20700,24570,28950,29020,36460,42090,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,81,398,310,166,23460,31940,34980,36750,46060,48120,53240,64660,71840,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,92,686,817,562,25730,35490,39070,34630,44570,51810,43440,58290,67660,1,1,1,1,1,1,,,,,,
0,16,2,11X,N,99,1125,1934,1393,37080,47980,52630,53340,64880,70830,68130,81740,90810,1,1,1,1,1,1,,,,,,
0,16,2,12X,A,00,37850,31680,18110,24760,33490,39920,39250,51590,60370,66860,79670,88730,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,11,106,55,,21310,21690,,29360,32860,,40500,47320,,1,1,5,1,1,5,,,,,,
0,16,2,12X,N,21,496,355,188,36710,51760,56740,51490,70170,79380,70190,91100,111300,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,22,171,203,169,29720,43570,54870,41410,64390,71960,58940,79480,99240,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,23,2251,1542,808,22080,29190,33500,31430,41910,49480,43810,59780,73640,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,31-33,3008,2512,1550,25010,33230,39210,35090,46910,56380,51600,66400,79830,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,42,1382,1112,699,24830,31910,37460,34530,45440,52800,50640,65590,83980,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,44-45,3414,2109,1035,17410,20770,24050,23510,29750,35530,33370,42860,52190,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,48-49,1483,1054,615,21610,28960,32090,31690,41460,47880,47210,61360,70350,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,51,1556,1368,802,32290,40360,47800,50650,61040,68840,75100,84580,92580,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,52,767,767,492,24260,33120,40980,33770,46680,54410,47210,62460,78530,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,53,420,312,166,20360,26300,29610,29250,38620,48680,40070,53550,67310,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,54,9039,6455,2886,55480,61370,63890,77110,86590,91130,100900,114200,122000,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,55,437,368,235,28310,36010,42530,50230,52440,60950,87820,85380,87710,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,56,4670,2549,1211,21030,24780,27450,30890,38030,43400,47980,59840,67910,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,61,929,1165,842,25830,30550,37560,40780,44560,49770,61330,62010,63990,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,62,940,1242,864,19370,24790,33040,27360,36280,46930,37330,50190,65760,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,71,367,311,142,17530,22740,26300,22860,33350,41270,33870,46000,66580,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,72,1285,839,400,16230,18320,20640,20500,24390,29280,27760,34100,42590,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,81,619,560,289,20900,26830,29650,30600,39990,45750,44550,57180,68010,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,92,2075,2437,1478,27110,35440,42150,35350,46350,55650,44060,60600,75040,1,1,1,1,1,1,,,,,,
0,16,2,12X,N,99,2452,4359,3202,36210,49560,57980,50790,68550,79220,69810,88800,100200,1,1,1,1,1,1,,,,,,
0,16,2,13X,A,00,12150,8609,2015,24880,33190,40560,36660,46550,56990,51660,63900,78670,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,11,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
0,16,2,13X,N,21,101,62,,36070,54180,,60100,72500,,82160,101900,,1,1,5,1,1,5,,,,,,
0,16,2,13X,N,22,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
0,16,2,13X,N,23,378,191,56,22780,29480,36580,31710,42860,53620,44790,60330,68780,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,31-33,696,534,231,26320,34640,45390,37390,48250,63120,52200,67440,79940,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,42,363,252,78,25510,35520,40450,37180,51820,55950,63880,73250,90000,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,44-45,816,466,128,17430,21830,26100,22650,31100,40180,32370,46390,55740,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,48-49,378,290,142,23820,29680,50590,35390,48320,66580,53390,68460,85920,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,51,139,107,,25850,35030,,40360,47500,,57900,67630,,1,1,5,1,1,5,,,,,,
0,16,2,13X,N,52,190,132,,24650,30900,,34570,43370,,46270,58130,,1,1,5,1,1,5,,,,,,
0,16,2,13X,N,53,130,78,,19500,31460,,30900,39580,,44620,53120,,1,1,5,1,1,5,,,,,,
0,16,2,13X,N,54,887,548,176,32350,37180,40660,49780,56940,69270,69240,77970,90160,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,55,104,66,,22610,29450,,34860,40180,,50370,60460,,1,1,5,1,1,5,,,,,,
0,16,2,13X,N,56,1021,486,123,21620,25120,31770,31100,39460,48570,46540,62040,77990,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,61,345,362,106,28220,29940,39920,40850,43430,53450,54380,57730,70360,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,62,2682,1828,211,24050,30950,35940,34720,44240,52370,50970,61930,74730,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,71,82,,,18020,,,23880,,,33480,,,1,5,5,1,5,5,,,,,,
0,16,2,13X,N,72,363,188,,16990,18770,,21660,24860,,30810,33140,,1,1,5,1,1,5,,,,,,
0,16,2,13X,N,81,201,137,,22290,25440,,35490,44410,,55740,64570,,1,1,5,1,1,5,,,,,,
0,16,2,13X,N,92,506,482,123,26490,34660,37280,35410,45540,48980,44480,58830,69260,1,1,1,1,1,1,,,,,,
0,16,2,13X,N,99,2646,2293,441,34620,41100,50160,42520,51650,63370,54090,65570,83010,1,1,1,1,1,1,,,,,,
0,16,2,14X,A,00,5971,5697,3924,24900,32020,37950,38230,47880,55820,57070,69650,81020,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,11,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
0,16,2,14X,N,21,50,,,31460,,,43460,,,69210,,,1,5,5,1,5,5,,,,,,
0,16,2,14X,N,22,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
0,16,2,14X,N,23,286,223,123,23250,29700,39880,34120,43050,55430,46540,63420,77990,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,31-33,364,410,282,23820,32110,35290,34170,42090,50860,49400,60930,73390,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,42,175,169,108,28360,32240,37300,37420,44350,55350,54090,66030,76170,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,44-45,546,380,208,17820,20880,23620,23570,28340,32900,32950,42000,53120,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,48-49,195,170,142,20350,28470,26630,30980,42810,41140,45970,60890,56990,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,51,167,148,91,28790,34860,47770,42520,56710,62230,64770,80200,93770,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,52,119,138,101,21120,28630,35830,28560,41880,50740,42700,55120,77420,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,53,53,77,,19490,20900,,25870,32130,,43680,46630,,1,1,5,1,1,5,,,,,,
0,16,2,14X,N,54,1106,846,466,41640,49470,51090,62470,71450,74990,87940,96960,105600,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,55,74,54,60,27000,36010,41140,43050,50820,63290,65850,76760,94790,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,56,772,510,298,22780,25170,26740,35370,40910,42530,54780,67210,63160,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,61,327,347,258,26030,33260,38380,42460,47050,52190,56250,61970,66870,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,62,199,306,293,20100,24350,30420,26910,33550,43510,37080,47770,62270,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,71,86,63,,18100,21280,,27280,37930,,41000,61870,,1,1,5,1,1,5,,,,,,
0,16,2,14X,N,72,173,135,97,15360,17690,18510,19850,22790,25980,28430,31140,40900,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,81,91,92,57,20590,25760,29990,30790,35290,42330,49050,46940,56840,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,92,353,411,313,28190,36030,41290,36330,45390,54350,45770,59440,70600,1,1,1,1,1,1,,,,,,
0,16,2,14X,N,99,762,1096,878,35190,46010,52730,44530,59630,71990,62520,77130,91290,1,1,1,1,1,1,,,,,,
0,16,2,15X,A,00,46280,40530,24000,25040,32850,37310,37330,47250,53470,55100,68150,77350,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,11,68,61,,18710,20520,,23950,35290,,29450,49240,,1,1,5,1,1,5,,,,,,
0,16,2,15X,N,21,332,227,152,36040,49760,54490,52460,68840,81020,72930,90920,113300,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,22,121,174,122,28040,40360,51300,37580,56120,67850,52430,79110,86330,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,23,1353,987,474,22720,28220,35190,32600,40980,48120,47990,61080,70980,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,31-33,3041,2505,1423,25770,31720,34980,36680,45280,51840,52030,63470,73520,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,42,1562,1306,773,24570,29670,33460,34740,41070,47450,49110,58400,68710,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,44-45,3752,2324,1176,17810,20840,23610,24700,29490,34400,35780,43210,51810,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,48-49,2368,1593,923,22970,28360,32660,32580,41440,47140,46780,59760,64650,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,51,1258,1023,489,28130,34540,40670,43120,51060,57910,66410,77920,82730,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,52,1353,1123,739,23030,30220,34990,32030,41290,49600,43700,57800,70860,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,53,556,418,222,21280,28990,29990,31950,39420,39670,45270,52750,54080,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,54,7407,5106,2378,40100,48650,49450,58230,69230,73690,83470,99530,107600,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,55,483,431,304,25680,32900,38980,39340,50630,63780,61370,77450,89300,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,56,5798,3250,1514,20720,23650,24820,29910,35400,38280,44650,53140,60240,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,61,2020,2049,1424,28670,31190,35170,44700,47630,50010,59070,64900,67810,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,62,1927,2405,1693,20470,23740,28330,28460,33630,39700,38650,46340,56690,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,71,301,231,149,18510,22100,22210,24910,31100,38160,35800,44470,59570,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,72,1113,769,434,16430,18120,19310,21630,24050,27550,31220,36460,41430,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,81,831,647,313,22810,24720,27490,33840,38160,42810,48060,52900,60520,1,1,1,1,1,1,,,,,,
0,16,2,15X,N,92,2472,2482,1640,25920,32440,35940,33580,41140,45460,41940,53750,61730,1,1,1,1,1,1,,,,,,
