cohort,cohort_years,dod_occ_code_level,dod_occ_code,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A,000,X,E1-E9,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,A,000,A,E1-E5,227200,196000,120200,286300,138600,68130,21260,28280,34140,30650,41230,49400,43550,57960,70250,1,1,1,1,1,1,1,1,1
0,16,A,000,A,E6-E9,85170,66980,34830,56600,30250,15990,34240,43550,46550,48980,60410,65560,69270,82990,89590,1,1,1,1,1,1,1,1,1
0,16,2,10X,X,E1-E9,87590,73730,43830,101500,50950,25050,21720,29320,35020,31390,42570,50430,44950,60190,71850,1,1,1,1,1,1,1,1,1
0,16,2,10X,A,E1-E5,65940,57110,35230,85440,42630,20810,20130,27020,33320,28200,39250,48190,39010,54750,68450,1,1,1,1,1,1,1,1,1
0,16,2,10X,A,E6-E9,21640,16620,8605,16050,8325,4237,31830,41110,43580,45100,56090,60480,63950,78160,83920,1,1,1,1,1,1,1,1,1
0,16,2,11X,X,E1-E9,19340,16700,9918,18370,8678,4402,25860,34210,39810,40560,51690,58970,64080,76150,84800,1,1,1,1,1,1,1,1,1
0,16,2,11X,A,E1-E5,15090,13290,8262,16280,7494,3780,23610,31620,37670,36180,47110,55360,55950,68640,79760,1,1,1,1,1,1,1,1,1
0,16,2,11X,A,E6-E9,4245,3411,1681,2089,1190,634,39950,51610,55600,61890,73390,79120,84320,97220,104800,1,1,1,1,1,1,1,1,1
0,16,2,12X,X,E1-E9,37850,31680,18110,38890,19360,9195,24760,33490,39920,39250,51590,60370,66860,79670,88730,1,1,1,1,1,1,1,1,1
0,16,2,12X,A,E1-E5,26580,23090,13630,31220,15280,7131,22090,30380,37300,33310,46010,55780,53540,69950,82840,1,1,1,1,1,1,1,1,1
0,16,2,12X,A,E6-E9,11210,8597,4481,7668,4085,2064,38130,46960,51370,60200,71010,76620,86960,97850,104800,1,1,1,1,1,1,1,1,1
0,16,2,13X,X,E1-E9,12150,8609,2015,18060,5984,893,24880,33190,40560,36660,46550,56990,51660,63900,78670,1,1,1,1,1,1,1,1,1
0,16,2,13X,A,E1-E5,8766,6409,1550,15270,4999,718,22570,30340,38620,32860,43060,54970,45530,58900,75430,1,1,1,1,1,1,1,1,1
0,16,2,13X,A,E6-E9,3402,2218,451,2796,996,173,35440,43470,45390,48100,57830,63000,64500,76030,85010,1,1,1,1,1,1,1,1,1
0,16,2,14X,X,E1-E9,5971,5697,3924,6441,3441,2164,24900,32020,37950,38230,47880,55820,57070,69650,81020,1,1,1,1,1,1,1,1,1
0,16,2,14X,A,E1-E5,3664,3705,2647,4750,2508,1587,21760,27960,34540,32510,42080,50530,46380,59990,72040,1,1,1,1,1,1,1,1,1
0,16,2,14X,A,E6-E9,2355,2023,1274,1689,934,581,33690,43380,47020,50330,61980,68800,71830,85460,92580,1,1,1,1,1,1,1,1,1
0,16,2,15X,X,E1-E9,46280,40530,24000,53090,27010,14140,25040,32850,37310,37330,47250,53470,55100,68150,77350,1,1,1,1,1,1,1,1,1
0,16,2,15X,A,E1-E5,26950,24820,15890,40560,20070,10320,21270,27730,33360,30780,40200,47330,43180,55820,67620,1,1,1,1,1,1,1,1,1
0,16,2,15X,A,E6-E9,19360,15720,8092,12540,6932,3825,35060,44980,48590,49600,61890,68020,69540,84120,91040,1,1,1,1,1,1,1,1,1
0,16,2,16X,X,E1-E9,49900,41440,25880,44400,23310,13030,24560,32070,36860,36290,46670,52600,52170,64510,72740,1,1,1,1,1,1,1,1,1
0,16,2,16X,A,E1-E5,38500,32410,20930,38400,19840,10910,22720,29610,34870,32820,42990,49980,46390,59320,69030,1,1,1,1,1,1,1,1,1
0,16,2,16X,A,E6-E9,11430,9079,4949,5997,3459,2118,36340,45130,47150,50960,61080,64630,67830,80070,85010,1,1,1,1,1,1,1,1,1
0,16,2,17X,X,E1-E9,12910,11870,8383,13140,7633,4475,22510,30690,36640,32630,43760,51190,45550,59860,71020,1,1,1,1,1,1,1,1,1
0,16,2,17X,A,E1-E5,10250,9403,6662,11590,6626,3765,20990,28370,34360,30040,40720,48510,41270,55600,67760,1,1,1,1,1,1,1,1,1
0,16,2,17X,A,E6-E9,2692,2471,1710,1552,995,710,32770,42550,45810,45110,55790,60860,59590,72920,81250,1,1,1,1,1,1,1,1,1
0,16,2,18X,X,E1-E9,40270,32630,18980,49060,22490,10750,22110,28980,33580,31970,41740,48450,44480,57290,68360,1,1,1,1,1,1,1,1,1
0,16,2,18X,A,E1-E5,31430,25800,15410,42830,19150,9107,20740,26920,31650,29220,38830,46020,40430,53150,64360,1,1,1,1,1,1,1,1,1
0,16,2,18X,A,E6-E9,8840,6833,3584,6225,3335,1646,31630,40240,43570,43190,53820,59840,58630,73410,83670,1,1,1,1,1,1,1,1,1
2000,4,A,000,X,E1-E9,87660,102600,99650,66820,51390,53490,23030,30040,36170,33260,43680,52130,46800,61370,74780,1,1,1,1,1,1,1,1,1
2000,4,A,000,A,E1-E5,66320,79830,78100,56480,42580,43740,21270,27660,34050,30290,40400,49150,41950,56240,69740,1,1,1,1,1,1,1,1,1
2000,4,A,000,A,E6-E9,21340,22790,21550,10340,8811,9744,32490,41720,45900,44520,56940,64870,61130,77530,89420,1,1,1,1,1,1,1,1,1
2000,4,2,10X,X,E1-E9,25330,29620,28750,19950,15470,16050,21610,28480,34630,30580,41310,49650,41930,56910,70220,1,1,1,1,1,1,1,1,1
2000,4,2,11X,X,E1-E9,5488,6493,6368,3724,2709,2784,25370,32930,39420,38820,48080,58700,60670,71500,85190,1,1,1,1,1,1,1,1,1
2000,4,2,12X,X,E1-E9,9589,11330,11150,7153,5375,5531,24320,32350,39680,36730,48910,59720,57730,73600,88010,1,1,1,1,1,1,1,1,1
2000,4,2,13X,X,E1-E9,1514,1744,1678,889,712,734,27960,35490,40810,39850,51440,57760,55760,68600,78920,1,1,1,1,1,1,1,1,1
2000,4,2,14X,X,E1-E9,2576,3096,3056,2254,1712,1724,23440,29540,37120,35190,45130,54610,49920,64800,79120,1,1,1,1,1,1,1,1,1
2000,4,2,15X,X,E1-E9,12380,14780,14300,10710,8211,8562,23980,30860,37150,34580,44420,53100,48700,63040,77380,1,1,1,1,1,1,1,1,1
2000,4,2,16X,X,E1-E9,15810,18010,17430,10610,8315,8734,23680,30760,36420,34050,44490,52190,47120,60750,72450,1,1,1,1,1,1,1,1,1
2000,4,2,17X,X,E1-E9,4160,4989,4787,3281,2447,2561,23400,30200,36380,33110,43650,50600,45350,59260,70090,1,1,1,1,1,1,1,1,1
2000,4,2,18X,X,E1-E9,10820,12560,12130,8258,6439,6809,22340,28430,33670,31890,41200,48520,43180,56240,68240,1,1,1,1,1,1,1,1,1
2004,4,A,000,X,E1-E9,95140,95690,55380,68580,67370,30630,23440,33160,36960,35300,48060,53500,52150,69310,76660,1,1,1,1,1,1,1,1,1
2004,4,A,000,A,E1-E5,68230,68630,42100,56720,55820,24380,20920,29670,34310,30670,43020,49870,43750,60990,71250,1,1,1,1,1,1,1,1,1
2004,4,A,000,A,E6-E9,26910,27060,13280,11860,11560,6242,36250,46210,47680,50990,63970,66560,69870,86830,89820,1,1,1,1,1,1,1,1,1
2004,4,2,10X,X,E1-E9,25800,25380,15080,19840,20020,9001,21470,30670,35850,31760,44680,51940,45570,63730,74750,1,1,1,1,1,1,1,1,1
2004,4,2,11X,X,E1-E9,6160,6447,3575,3984,3668,1624,25430,36130,40390,40010,54360,59200,62960,78830,84210,1,1,1,1,1,1,1,1,1
2004,4,2,12X,X,E1-E9,11910,12010,6961,8103,7940,3666,24650,35710,40270,40030,55810,61450,67340,86210,89950,1,1,1,1,1,1,1,1,1
2004,4,2,13X,X,E1-E9,2209,2357,323,1808,1653,158,25250,34070,36040,37300,47270,50440,52570,65620,70320,1,1,1,1,1,1,1,1,1
2004,4,2,14X,X,E1-E9,1439,1544,865,1046,964,448,25820,36870,39200,40800,53900,58550,62700,79150,84620,1,1,1,1,1,1,1,1,1
2004,4,2,15X,X,E1-E9,15810,16460,9677,12240,11500,5576,25320,35420,37520,37610,50220,54080,55420,72010,77410,1,1,1,1,1,1,1,1,1
2004,4,2,16X,X,E1-E9,15050,14660,8450,8744,9030,4299,25340,34560,37630,38100,50070,53370,54750,69540,73320,1,1,1,1,1,1,1,1,1
2004,4,2,17X,X,E1-E9,5094,5150,3585,3878,3760,1915,22480,32110,36830,33120,44860,51810,46560,61410,72080,1,1,1,1,1,1,1,1,1
2004,4,2,18X,X,E1-E9,11670,11680,6862,8939,8837,3939,22180,30740,33340,32610,43810,48290,45850,60610,68360,1,1,1,1,1,1,1,1,1
2008,4,A,000,X,E1-E9,60020,64700,,101900,50090,,25350,30170,,39150,44370,,61960,64920,,1,1,-1,1,1,-1,1,1,-1
2008,4,A,000,A,E1-E5,38840,47570,,85790,40210,,22140,27460,,32400,40010,,48300,57070,,1,1,-1,1,1,-1,1,1,-1
2008,4,A,000,A,E6-E9,21180,17130,,16080,9884,,38150,41920,,56040,59840,,80820,83120,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,10X,X,E1-E9,16220,18730,,31720,15460,,22860,28900,,33860,41980,,52890,61190,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,11X,X,E1-E9,3650,3757,,5015,2308,,30070,33720,,52240,53040,,79840,78330,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,12X,X,E1-E9,8026,8343,,11990,6048,,28140,32090,,50020,49880,,85660,77960,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,13X,X,E1-E9,4105,4526,,7269,3626,,26540,32090,,38590,44620,,54070,61020,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,14X,X,E1-E9,1007,1088,,1550,769,,30020,33300,,47360,49770,,73030,72290,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,15X,X,E1-E9,9173,9303,,14400,7298,,29200,31790,,44810,47040,,67140,69090,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,16X,X,E1-E9,8740,8822,,11980,5954,,26700,30950,,41590,45570,,62660,63600,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,17X,X,E1-E9,1536,1735,,2860,1417,,22130,28270,,32390,40630,,47210,56370,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,18X,X,E1-E9,7566,8397,,15090,7210,,22950,27470,,33920,39570,,47980,54730,,1,1,-1,1,1,-1,1,1,-1
2012,4,A,000,X,E1-E9,69510,,,105700,,,22250,,,32500,,,47350,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,A,000,A,E1-E5,53780,,,87340,,,21010,,,29930,,,42690,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,A,000,A,E6-E9,15730,,,18320,,,30030,,,43830,,,64820,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,10X,X,E1-E9,20230,,,29980,,,21270,,,30340,,,43560,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,11X,X,E1-E9,4037,,,5643,,,24330,,,36550,,,55450,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,12X,X,E1-E9,8267,,,11640,,,23120,,,35180,,,57250,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,13X,X,E1-E9,4340,,,8097,,,22670,,,33500,,,47070,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,14X,X,E1-E9,997,,,1589,,,24300,,,36610,,,56820,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,15X,X,E1-E9,8946,,,15750,,,23260,,,35290,,,51640,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,16X,X,E1-E9,10330,,,13070,,,23480,,,34350,,,48820,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,17X,X,E1-E9,2151,,,3120,,,21410,,,30500,,,42390,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,18X,X,E1-E9,10220,,,16780,,,21260,,,29930,,,41940,,,1,-1,-1,1,-1,-1,1,-1,-1
2000,4,2,10X,A,E1-E5,19630,23670,23200,17300,13110,13390,20170,26450,32970,28030,38630,47530,38020,53180,67060,1,1,1,1,1,1,1,1,1
2000,4,2,10X,A,E6-E9,5686,5951,5553,2658,2354,2663,30890,39750,43070,41360,52850,59500,55300,71180,82860,1,1,1,1,1,1,1,1,1
2000,4,2,11X,A,E1-E5,4462,5358,5256,3279,2352,2398,23700,30960,37380,35930,45320,55510,56010,66330,80480,1,1,1,1,1,1,1,1,1
2000,4,2,11X,A,E6-E9,1050,1095,1073,450,358,382,37350,46550,53370,56230,69830,79000,78100,94880,106300,1,1,1,1,1,1,1,1,1
2000,4,2,12X,A,E1-E5,7021,8506,8410,5806,4281,4327,22170,29620,37140,32890,44680,55290,49350,66210,82050,1,1,1,1,1,1,1,1,1
2000,4,2,12X,A,E6-E9,2591,2853,2711,1342,1099,1205,34570,45270,50580,52390,66500,76180,75240,91970,105400,1,1,1,1,1,1,1,1,1
2000,4,2,13X,A,E1-E5,1230,1332,1319,728,584,589,26510,33380,40120,37940,48290,56680,52930,65350,76880,1,1,1,1,1,1,1,1,1
2000,4,2,13X,A,E6-E9,379,397,385,159,120,139,34690,46960,46850,49160,61740,65590,67040,81040,89150,1,1,1,1,1,1,1,1,1
2000,4,2,14X,A,E1-E5,1657,2088,2075,1748,1288,1278,20500,26310,33820,29800,39360,49210,42680,55160,69430,1,1,1,1,1,1,1,1,1
2000,4,2,14X,A,E6-E9,934,1001,1003,503,425,439,32620,41310,46210,45810,58590,68490,61380,78360,92700,1,1,1,1,1,1,1,1,1
2000,4,2,15X,A,E1-E5,7737,9745,9586,8251,6183,6327,21110,27050,33400,29940,39110,47400,40780,53610,67770,1,1,1,1,1,1,1,1,1
2000,4,2,15X,A,E6-E9,4606,4991,4743,2449,2027,2234,31960,41780,47220,44450,57030,67650,62250,79290,90920,1,1,1,1,1,1,1,1,1
2000,4,2,16X,A,E1-E5,12620,14710,14330,9299,7166,7429,22150,28720,34680,31510,41500,49710,43230,56870,68900,1,1,1,1,1,1,1,1,1
2000,4,2,16X,A,E6-E9,3169,3298,3126,1298,1167,1306,34580,43810,47070,46490,57920,64230,60010,74610,85780,1,1,1,1,1,1,1,1,1
2000,4,2,17X,A,E1-E5,3207,3930,3830,2808,2083,2156,21620,27890,34340,30500,40490,48050,41670,55730,67180,1,1,1,1,1,1,1,1,1
2000,4,2,17X,A,E6-E9,931,1023,967,475,370,402,31850,42060,45110,42740,54460,59720,56240,69820,81040,1,1,1,1,1,1,1,1,1
2000,4,2,18X,A,E1-E5,8801,10430,10070,7249,5554,5859,21120,26800,32060,29770,39180,46400,40220,53520,65040,1,1,1,1,1,1,1,1,1
2000,4,2,18X,A,E6-E9,2031,2152,2075,1005,888,950,31480,39290,43310,41920,52490,59990,54630,70630,83730,1,1,1,1,1,1,1,1,1
2004,4,2,10X,A,E1-E5,19530,19150,12050,16830,17040,7414,19640,27980,33990,28130,40720,49560,39120,56950,71200,1,1,1,1,1,1,1,1,1
2004,4,2,10X,A,E6-E9,6284,6257,3061,3005,2984,1580,33840,43540,44570,46610,59420,62570,63840,82850,85620,1,1,1,1,1,1,1,1,1
2004,4,2,11X,A,E1-E5,4739,5049,2959,3530,3205,1376,22810,32960,38350,35160,48860,55730,53580,70790,78980,1,1,1,1,1,1,1,1,1
2004,4,2,11X,A,E6-E9,1428,1391,616,450,462,247,41370,55780,56730,61400,75640,76900,85160,100400,99600,1,1,1,1,1,1,1,1,1
2004,4,2,12X,A,E1-E5,8391,8544,5231,6523,6310,2808,21630,32120,37440,33190,49070,56520,53650,76790,83970,1,1,1,1,1,1,1,1,1
2004,4,2,12X,A,E6-E9,3539,3459,1727,1588,1639,855,40540,50090,52410,61860,75840,77070,87250,102700,103100,1,1,1,1,1,1,1,1,1
2004,4,2,13X,A,E1-E5,1543,1661,239,1525,1385,127,22220,30500,32440,32670,42830,47270,44780,57660,63500,1,1,1,1,1,1,1,1,1
2004,4,2,13X,A,E6-E9,664,706,87,286,263,,37220,46060,43810,49580,59990,60460,66180,78640,79500,1,1,1,1,1,5,1,1,1
2004,4,2,14X,A,E1-E5,843,898,560,733,695,308,22310,32030,36260,34560,46860,54550,49410,69020,78530,1,1,1,1,1,1,1,1,1
2004,4,2,14X,A,E6-E9,552,609,325,318,273,142,35560,44810,47670,54050,66190,67470,81770,97450,93840,1,1,1,1,1,1,1,1,1
2004,4,2,15X,A,E1-E5,9203,9663,6326,9209,8673,4000,20960,29530,33240,30700,42140,47240,42480,58290,67310,1,1,1,1,1,1,1,1,1
2004,4,2,15X,A,E6-E9,6664,6767,3365,3032,2827,1584,36670,47680,50050,51170,64920,68410,70430,87430,91240,1,1,1,1,1,1,1,1,1
2004,4,2,16X,A,E1-E5,11240,10880,6589,7439,7731,3490,23020,31500,35480,33550,45650,50630,47850,63100,69260,1,1,1,1,1,1,1,1,1
2004,4,2,16X,A,E6-E9,3793,3786,1871,1298,1295,813,39070,47800,46940,53470,64900,65090,69260,84630,84320,1,1,1,1,1,1,1,1,1
2004,4,2,17X,A,E1-E5,3935,3990,2835,3342,3270,1610,20630,29490,34600,29870,41730,49160,40780,56410,68560,1,1,1,1,1,1,1,1,1
2004,4,2,17X,A,E6-E9,1132,1166,739,528,487,302,35510,43870,46990,48560,58030,62560,61910,75320,82410,1,1,1,1,1,1,1,1,1
2004,4,2,18X,A,E1-E5,8791,8796,5311,7588,7512,3249,20430,28140,30960,29060,39990,45420,40610,54750,63140,1,1,1,1,1,1,1,1,1
2004,4,2,18X,A,E6-E9,2886,2883,1530,1353,1319,688,33480,42780,44760,45270,56840,60770,60520,77330,85440,1,1,1,1,1,1,1,1,1
2008,4,2,10X,A,E1-E5,10780,14270,,26810,12480,,20620,26730,,28550,38450,,40400,54530,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,10X,A,E6-E9,5425,4440,,4913,2989,,34720,39870,,52210,56630,,77830,81620,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,11X,A,E1-E5,2501,2848,,4437,1934,,26060,30550,,43350,47610,,70040,69840,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,11X,A,E6-E9,1155,894,,578,368,,46750,52780,,68760,74500,,92690,95760,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,12X,A,E1-E5,5114,6062,,9806,4700,,23880,29250,,37650,44150,,72340,67860,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,12X,A,E6-E9,2899,2264,,2184,1345,,46140,45300,,73230,70510,,102400,97570,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,13X,A,E1-E5,2738,3395,,6205,3024,,23410,29370,,33780,41080,,46100,56120,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,13X,A,E6-E9,1367,1134,,1068,600,,38120,41300,,50960,55630,,66890,73060,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,14X,A,E1-E5,520,705,,1168,529,,25160,29150,,37930,43690,,55740,62510,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,14X,A,E6-E9,443,369,,378,233,,39930,40560,,64300,59280,,87650,86950,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,15X,A,E1-E5,4378,5343,,11070,5226,,22640,26090,,33620,38560,,49510,55020,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,15X,A,E6-E9,4755,3935,,3342,2076,,39860,44380,,56750,62340,,78690,83480,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,16X,A,E1-E5,6112,6829,,10450,4953,,23910,28790,,35760,42040,,53360,58560,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,16X,A,E6-E9,2591,1999,,1530,1006,,41200,42360,,57310,59270,,77900,78720,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,17X,A,E1-E5,1198,1455,,2621,1295,,20780,26630,,29460,38480,,41550,53490,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,17X,A,E6-E9,335,259,,237,145,,36250,42920,,50370,54700,,69630,69470,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,18X,A,E1-E5,5406,6603,,13250,6082,,21100,25790,,29830,36920,,41600,50670,,1,1,-1,1,1,-1,1,1,-1
2008,4,2,18X,A,E6-E9,2150,1783,,1846,1121,,33390,38100,,46730,51300,,65510,70270,,1,1,-1,1,1,-1,1,1,-1
2012,4,2,10X,A,E1-E5,16000,,,24510,,,20290,,,28300,,,39420,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,10X,A,E6-E9,4219,,,5472,,,27980,,,41350,,,62480,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,11X,A,E1-E5,3361,,,5030,,,23080,,,34410,,,51040,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,11X,A,E6-E9,654,,,617,,,34960,,,53330,,,77980,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,12X,A,E1-E5,6086,,,9094,,,21350,,,31380,,,47770,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,12X,A,E6-E9,2208,,,2547,,,32800,,,51750,,,80550,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,13X,A,E1-E5,3300,,,6818,,,21150,,,30470,,,42570,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,13X,A,E6-E9,1010,,,1289,,,30890,,,43140,,,57730,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,14X,A,E1-E5,598,,,1101,,,22520,,,33370,,,47870,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,14X,A,E6-E9,385,,,486,,,27990,,,45730,,,73110,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,15X,A,E1-E5,5617,,,12030,,,20940,,,29920,,,43420,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,15X,A,E6-E9,3306,,,3718,,,31570,,,45030,,,64130,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,16X,A,E1-E5,8489,,,11210,,,22420,,,32420,,,45420,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,16X,A,E6-E9,1865,,,1858,,,31630,,,46080,,,64650,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,17X,A,E1-E5,1871,,,2806,,,20940,,,29650,,,40600,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,17X,A,E6-E9,294,,,313,,,26640,,,38380,,,55120,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,18X,A,E1-E5,8445,,,14760,,,20480,,,28480,,,39720,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,4,2,18X,A,E6-E9,1814,,,2020,,,27770,,,38380,,,52910,,,1,-1,-1,1,-1,-1,1,-1,-1
