dod_occ_code,dod_occ_code_level,label,moc_code,moc_code_label,doc_occ_code_full,moc_code_status,start_date,end_date,not_in_veo
10X,2,"Infantry, Gun Crews, and Seamanship Specialists",See below,See below,See below,See below,See below,See below,
101,3,"Infantry, General",11B,Infantryman,101000,A,196505,999912,0
101,3,"Infantry, General",11C,Indirect Fire Infantryman,101000,A,196505,999912,0
101,3,"Infantry, General",11H,Heavy Antiarmor Weapons Infantryman,101000,O,197406,200209,0
101,3,"Infantry, General",11M,Fighting Vehicle Infantryman,101000,O,198103,200209,0
101,3,"Infantry, General",11Z,Infantry Senior Sergeant,101000,A,197503,999912,0
101,3,"Infantry, General",18B,Special Forces Weapons Sergeant,101100,A,198401,999912,0
101,3,"Infantry, General",18C,Special Forces Engineer Sergeant,101100,A,198401,999912,0
101,3,"Infantry, General",18D,Special Forces Medical Sergeant,101100,A,198401,999912,0
101,3,"Infantry, General",18E,Special Forces Communications Sergeant,101100,A,198401,999912,0
101,3,"Infantry, General",18F,Special Forces Assistant Operations and Intelligence Sergeant,101100,A,199701,999912,0
101,3,"Infantry, General",18Z,Special Forces Senior Sergeant,101100,A,198401,999912,0
101,3,"Infantry, General",11L,Infantry Senior Sergeant,101000,O,190001,200001,0
102,3,"Armor and Amphibious, General",19E,M48-M60 Armor Crewman,102000,O,197710,199804,1
102,3,"Armor and Amphibious, General",19F,M48/M60 Tank Driver,102000,O,197710,198103,1
102,3,"Armor and Amphibious, General",19G,Armor Reconnaissance Vehicle Crewman,102000,O,197710,198103,1
102,3,"Armor and Amphibious, General",19H,Armor Reconnaissance Vehicle Driver,102000,O,197710,198103,1
102,3,"Armor and Amphibious, General",19J,M60A2 Armor Crewman,102000,O,197710,198103,1
102,3,"Armor and Amphibious, General",19K,M1 Armor Crewman,102000,A,198001,999912,0
102,3,"Armor and Amphibious, General",19L,XM1 Tank Driver,102000,O,198001,198103,1
102,3,"Armor and Amphibious, General",19Z,Armor Senior Sergeant,102000,A,197710,999912,0
102,3,"Armor and Amphibious, General",11E,Armor Crewman,102000,O,196505,197710,1
103,3,"Combat Engineering, General",17E,Field Illumination Crewman,103000,O,196505,197604,1
103,3,"Combat Engineering, General",21B,Combat Engineer,103000,O,200309,201010,0
103,3,"Combat Engineering, General",21C,Bridge Crewmember,103000,O,200309,201010,0
103,3,"Combat Engineering, General",21Z,Combat Engineering Senior Sergeant,103000,O,200309,201010,0
103,3,"Combat Engineering, General",54A,Chemical Operations Assistant,103000,O,196505,197610,1
103,3,"Combat Engineering, General",54C,Smoke Operations Specialist,103000,O,196505,198610,1
103,3,"Combat Engineering, General",12B,Combat Engineer,103000,A,201004,999912,0
103,3,"Combat Engineering, General",12C,Bridge Crewmember,103000,A,201004,999912,0
103,3,"Combat Engineering, General",12Z,Combat Engineering Senior Sergeant,103000,A,201004,999912,0
103,3,"Combat Engineering, General",12A,Engineer Senior Sergeant,103000,A,201204,999912,0
103,3,"Combat Engineering, General",12A,Pioneer,103000,O,196505,197405,1
103,3,"Combat Engineering, General",12B,Combat Engineer,103000,O,196505,200409,0
103,3,"Combat Engineering, General",12C,Bridge Crewmember,103000,O,199904,200409,0
103,3,"Combat Engineering, General",12D,Powered Bridge Specialist,103000,O,196803,197604,1
103,3,"Combat Engineering, General",12E,Atomic Demolition Munitions Specialist,103000,O,196803,198903,1
103,3,"Combat Engineering, General",12F,Engineer Tracked Vehicle Crewman,103000,O,198501,199610,1
103,3,"Combat Engineering, General",12Z,Combat Engineering Senior Sergeant,103000,O,199205,200409,0
104,3,"Missile Artillery, Operating Crew ",13A,Field Artillery Basic,104100,O,196505,197405,1
104,3,"Missile Artillery, Operating Crew ",13B,Cannon Crewmember,104100,A,196505,999912,0
104,3,"Missile Artillery, Operating Crew ",13Z,Field Artillery Senior Sergeant,104100,A,196601,999912,0
104,3,"Missile Artillery, Operating Crew ",16L,SGT YORK Air Defense Gun Crewmember,104100,O,198212,198610,1
104,3,"Missile Artillery, Operating Crew ",16R,VULCAN Crewmember,104100,O,196803,199704,1
104,3,"Missile Artillery, Operating Crew ",13M,Multiple Launch Rocket System (MLRS)/High Mobility Artillery Rocket System (HIMARS) Crewmember,104200,A,200504,999912,0
104,3,"Missile Artillery, Operating Crew ",15D,LANCE Crewmember/MLRS Sergeant,104200,O,196809,198610,1
104,3,"Missile Artillery, Operating Crew ",15F,HONEST JOHN Rocket Crew Member,104200,O,197002,198001,1
104,3,"Missile Artillery, Operating Crew ",13N,LANCE Crewmember,104300,O,198604,199304,1
104,3,"Missile Artillery, Operating Crew",14D,HAWK Missile System Crewmember,104300,O,199009,200104,0
104,3,"Missile Artillery, Operating Crew",14E,PATRIOT Fire Control Enhanced Operator/Maintainer,104300,A,199704,999912,0
104,3,"Missile Artillery, Operating Crew",14M,Man Portable Air Defense System Crewmember (RC),104300,O,199704,201010,0
104,3,"Missile Artillery, Operating Crew",14S,AVENGER Crewmember (USAR/NG only),104300,A,199109,999912,0
104,3,"Missile Artillery, Operating Crew",14T,PATRIOT Launching Station Enhanced Operator/Maintainer,104300,A,199704,999912,0
104,3,"Missile Artillery, Operating Crew",14Z,Air Defense Artillery Senior Sergeant,104300,A,199704,999912,0
104,3,"Missile Artillery, Operating Crew",15B,SERGEANT Missile Crewman,104300,O,196505,197806,1
104,3,"Missile Artillery, Operating Crew",15E,PERSHING Missile Crewmember,104300,O,196505,199210,1
104,3,"Missile Artillery, Operating Crew",15J,MLRS/LANCE Operational/Fire Direction Specialist,104300,O,196505,198710,1
104,3,"Missile Artillery, Operating Crew",15Z,Field Artillery Missile-Rocket Senior Sergeant,104300,O,196809,197604,1
104,3,"Missile Artillery, Operating Crew",16B,HERCULES Missile Crew Member,104300,O,196505,198510,1
104,3,"Missile Artillery, Operating Crew",16C,HERCULES Fire Control Crewman,104300,O,196505,198510,1
104,3,"Missile Artillery, Operating Crew",16D,HAWK Missile Crewmember,104300,O,196505,199504,1
104,3,"Missile Artillery, Operating Crew",16E,HAWK Fire Control Crewmember,104300,O,199310,199504,1
104,3,"Missile Artillery, Operating Crew",16F,Light Air Defense Artillery Crewmember (Reserve Forces),104300,O,196809,199203,1
104,3,"Missile Artillery, Operating Crew",16G,ROLAND Systems Crewmember (Reserve Forces),104300,O,198109,199003,1
104,3,"Missile Artillery, Operating Crew",16P,CHAPARRAL Crewmember,104300,O,197101,199708,1
104,3,"Missile Artillery, Operating Crew",16S,Man Portable Air Defense Systems (MANPADS) Crewmember,104300,O,198004,199704,1
104,3,"Missile Artillery, Operating Crew",16T,PATRIOT Missile Crewmember,104300,O,198004,199704,1
104,3,"Missile Artillery, Operating Crew",16Z,Air Defense Artillery Senior Sergeant,104300,O,196807,199704,1
104,3,"Missile Artillery, Operating Crew",14X,Space and Missile Defense Operations,104300,A,200610,999912,0
104,3,"Missile Artillery, Operating Crew",14G,Air Defense (AD) Battle Management System Operator,104300,A,201104,999912,0
104,3,"Missile Artillery, Operating Crew",14H,Air Defense (AD) Enhanced Early Warning System Operator,104300,A,201104,999912,0
104,3,"Missile Artillery, Operating Crew",14P,Air and Missile Defense (AMD) Crewmember,104300,A,201610,999912,0
104,3,"Missile Artillery, Operating Crew",13M,Multiple Launch Rocket System (MLRS) Crewmember,104200,O,199904,200503,0
104,3,"Missile Artillery, Operating Crew",13P,Multiple Launch Rocket System (MLRS) Operations/Fire Direction Specialist,104300,O,199408,201710,0
104,3,"Missile Artillery, Operating Crew",13Y,Cannon/Missile Senior Sergeant,104100,O,197604,198604,1
104,3,"Missile Artillery, Operating Crew",14J,"Air Defense Command, Control, Communications, Computers and Intelligence Tactical Operations Center Enhanced Operator/Maintainer",104300,O,199704,201110,0
104,3,"Missile Artillery, Operating Crew",14R,BRADLEY LINEBACKER Crewmember,104300,O,199704,200910,0
106,3,Small Boat Operators,61A,Seaman,106200,O,196505,197405,1
106,3,Small Boat Operators,61B,Watercraft Operator,106200,O,196505,198610,1
106,3,Small Boat Operators,61D,Amphibian Operator,106200,O,196602,197508,1
106,3,Small Boat Operators,61Z,Marine Senior Sergeant,106200,O,196602,198610,1
106,3,Small Boat Operators,88K,Watercraft Operator,106200,A,198610,999912,0
106,3,Small Boat Operators,88Y,Marine Senior Sergeant,106200,O,198610,199510,1
108,3,"Unmanned Vehicle System (UVS) Operators, General",15W,Unmanned Aircraft Systems (UAS Operator),108000,A,200804,999912,0
108,3,"Unmanned Vehicle System (UVS) Operators, General",35K,Unmanned Aerial Vehicle (UAV) Operator,108000,O,200704,200810,0
108,3,"Unmanned Vehicle System (UVS) Operators, General",96U,Unmanned Aerial Vehicle Operator,108000,O,200204,200710,0
11X,2,Electronic Equipment Repairers,See below,See below,See below,See below,See below,See below,
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",25P,Microwave Systems Operator-Maintainer,110100,A,200409,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",25U,Signal Support Systems Specialist,110100,A,200409,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26L,Tactical Microwave Systems Repairer,110100,O,196505,198510,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26V,Strategic Microwave Systems Repairer,110100,O,196803,198604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29T,Satellite/Microwave Communications Chief,110100,O,198610,199104,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29W,Electronics Maintenance Supervisor,110100,O,198610,199504,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29X,Communications Equipment Maintenance Chief,110100,O,198610,199009,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29Z,Electronics Maintenance Chief,110100,O,198610,199504,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31B,Field Communications-Electronics Equipment Mechanic,110100,O,196505,197710,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31E,Field Radio Repairer,110100,O,196505,198510,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31G,Tactical Communications Chief,110100,O,196505,199304,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31X,Communications Systems Circuit Control Supervisor,110100,O,198610,198809,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",32D,Communications Systems Circuit Controller,110100,O,196505,198809,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",32E,Fixed Plant Carrier Repairman,110100,O,196505,197710,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",32H,Fixed Station Radio Repairer,110100,O,197202,198510,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",32Z,Communications-Electronics Maintenance Chief,110100,O,196505,198604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35W,Electronic Maintenance Chief,110100,O,199504,200509,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35Z,Senior Electronics Maintenance Chief,110100,O,199904,200509,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",39W,Radar Special Electronic Devices Maintenance Chief,110100,O,198610,199009,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",39X,Electronic Equipment Maintenance Chief,110100,O,198610,199009,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",94E,Radio Equipment Repairer,110100,A,200504,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",94W,Electronic Maintenance Supervisor,110100,A,200504,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",94Z,Senior Electronic Maintenance Supervisor,110100,A,200504,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",15N,Avionic Mechanic,110200,A,200304,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",25Q,Multichannel Transmission Systems Operator-Maintainer,110200,A,200409,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",25S,Satellite Communications Systems Operator-Maintainer,110200,A,200409,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",25T,Satellite/Microwave Systems Chief,110200,A,200409,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26Y,SATCOM Equipment Repairer,110200,O,196505,198604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29Y,SATCOM Systems Repairer,110200,O,198610,199404,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33C,Terminal Intercept Equipment Repairman,110200,O,196505,197508,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33D,Intercept Recording Systems Repairman,110200,O,196505,197508,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33F,Intercept Demultiplex Systems Repairman,110200,O,196706,197508,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33G,ECM/DF Systems Repairman,110200,O,196706,197508,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33Q,EW/Intercept Strategic Processing & Storage Subsystems Repairer,110200,O,198406,199103,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33S,EW/Intercept Tactical System Repairer,110200,O,197508,198406,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33T,Electronic Warfare/Intercept Tactical Systems Repairer,110200,O,198406,199610,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33V,EW/Intercept Aerial Sensor Repairer,110200,O,198604,199310,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33Z,EW/Intercept Systems Maintenance Supervisor,110200,O,199205,199804,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35K,Avionic Mechanic,110200,O,196606,198810,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35M,Avionic Navigation & Flight Control Equipment Repairer,110200,O,196606,198903,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35N,Avionic Flight Control Equipment Repairman,110200,O,196606,197705,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35P,Avionic Equipment Maintenance Supervisor,110200,O,196606,198903,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35Q,Avionic Flight Systems Repairer,110200,O,199604,199904,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35R,Avionic Special Equipment Repairer,110200,O,196809,198903,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",68L,Avionic Communications Equipment Repairer,110200,O,198903,199604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",68Q,Avionic Flight Systems Repairer,110200,O,198903,199604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",68R,Avionic Radar Repairer,110200,O,198903,199604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",93D,Air Traffic Controller (ATC) Equipment Repairer,110200,O,199205,199604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",94R,Avionic and Survivability Equipment Repairer,110200,A,200504,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35T,Military Intelligence (MI) Systems Maintainer/Integrator,110200,A,200704,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",94D,Air Traffic Control Equipment Repairer,110300,A,200504,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",23N,NIKE Track Radar Repairer,110400,O,196505,198610,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",23S,HAWK Pulse Radar Repairer,110400,O,196505,198001,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",23T,HAWK Continuous Wave Radar Repairman,110400,O,196505,198610,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",23U,NIKE High Power Radar-Simulator Repairer,110400,O,196601,198610,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",23W,NIKE Maintenance Chief,110400,O,196601,198610,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",24B,HAWK Continuous Wave Radar Mechanic,110400,O,196801,198004,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",24J,HAWK Pulse Radar Repairer,110400,O,197108,198810,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",24K,HAWK Continuous Wave Radar Repairer,110400,O,197108,199407,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",24P,Defense Acquisition Radar Mechanic,110400,O,196801,198604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26B,Weapons Support Radar Repairer,110400,O,196505,198410,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26D,Ground Control Approach Radar Repairer,110400,O,196505,198604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26E,Aerial Radar Sensor Repairer,110400,O,196505,198604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26H,Air Defense Radar Repairer (RC),110400,O,196505,199003,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26K,Aerial Electronic Warning Defense Equipment Repairer,110400,O,197002,198604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26M,Aerial Surveillance Radar Repairer (RC),110400,O,196602,198401,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26N,Aerial Surveillance Infrared Repairer (RC),110400,O,196602,197705,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26U,Unattended Ground Sensor Systems Repairman,110400,O,197204,197604,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26W,Radar Maintenance Supervisor-Inspector,110400,O,196602,197705,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",27J,HAWK Field Maintenance Equipment/Pulse Acquisition Radar Repairer,110400,O,198809,199504,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",27K,HAWK Fire Control/Continuous Wave Radar Repairer,110400,O,198809,199910,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",27N,Forward Area Alerting Radar (FAAR) Repairer,110400,O,198109,199210,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35C,Surveillance Radar Repairer,110400,O,199507,200004,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35M,Radar Repairer,110400,O,199507,200509,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",39C,Target Acquisition Surveillance Radar Repairer,110400,O,198610,199504,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",94M,Radar Repairer,110400,A,200504,999912,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",26C,Target Acquisition Surveillance Radar Repairer,110400,O,196505,198610,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29E,Radio Repairer,110100,O,198603,199504,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29M,Tactical Satellite/Microwave Repairer,110100,O,198603,199104,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",29V,Microwave Systems Operator/Repairer,110100,O,198610,199310,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31P,Microwave Systems Operator-Maintainer,110100,O,199310,200409,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31R,Multichannel Transmission Systems Operator-Maintainer,110200,O,199507,200409,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31S,Satellite Communications Systems Operator-Maintainer,110200,O,199408,200409,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31T,Satellite/Microwave Systems Chief,110200,O,199408,200409,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31U,Signal Support Systems Specialist,110100,O,199310,200409,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",31V,UL Communications Maintainer,110100,O,197710,199304,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33M,EW/Intercept Strategic System Analyst and Command and Control Subsystem Repairer,110200,O,198406,199103,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33P,EW/Intercept Strategic Receiving Subsystems/Repairer,110200,O,198406,199103,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33R,Electronic Warfare/Intercept Aviation Systems Repairer,110200,O,198406,199407,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33W,Military Intelligence Systems Maintainer/Integrator,110200,O,200204,200710,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",33Y,Strategic Systems Repairer,110200,O,199103,199407,1
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35D,Air Traffic Control Equipment Repairer,110200,O,199604,200510,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35E,Radio and Communications Security (COMSEC) Repairer,110100,O,199507,200510,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35L,Avionic Communications Equipment Repairer,110200,O,196606,200510,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",35R,Avionic Systems Repairer,110200,O,199604,200510,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",68J,Aircraft Armament/Missile Systems Repairer (RC),110200,O,199205,200410,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",68N,Avionic Mechanic,110200,O,198903,200409,0
110,3,"Navigation, Communication, and Countermeasure, N.E.C.",94L,Avionic Communications Equipment Repairer,110200,O,200504,201110,0
111,3,Shipboard and Other Fire Control,35J,Aircraft Fire Control Repairman,111200,O,196808,197610,1
111,3,Shipboard and Other Fire Control,34G,Fire Control Computer Repairer,111300,O,196505,198103,1
111,3,Shipboard and Other Fire Control,34L,Field Artillery Digital Systems Repairer,111300,O,198406,198610,1
111,3,Shipboard and Other Fire Control,34Y,FA Computer Repairer,111300,O,198103,198610,1
111,3,Shipboard and Other Fire Control,39Y,Field Artillery Tactical Fire Direction Systems Repairer,111300,O,198610,199203,1
111,3,Shipboard and Other Fire Control,45G,Fire Control Repairer,111300,O,199205,200910,0
111,3,Shipboard and Other Fire Control,91G,Fire Control Repairer,111300,O,200904,201810,0
112,3,Missile Guidance and Control,21G,PERSHING Electronics Materiel Specialist,112100,O,196505,199210,1
